OBJECTID;codigo_geo;pob_pad19;municipio_;cod_mund;Shape_Length;Shape_Area
1;079603;119317;Madrid-Retiro;79603;9531,035074498939139;5407677,596890565939248
2;079604;146104;Madrid-Salamanca;79604;10827,357991257944377;5372338,287363537587225
3;079601;134848;Madrid-Centro;79601;10255,291929280638215;5216067,718676910735667
4;079602;153803;Madrid-Arganzuela;79602;13005,066113144323026;6482886,773506255820394
5;079605;145849;Madrid-Chamartín;79605;13513,441544894652907;9127204,310028474777937
6;079606;158023;Madrid-Tetuán;79606;10199,436829719845264;5371827,376246695406735
7;079607;139379;Madrid-Chamberí;79607;9091,652634870328257;4680785,292681023478508
8;079608;245939;Madrid-Fuencarral-El Pardo;79608;94656,914936541710631;237949839,216794490814209
9;079609;119419;Madrid-Moncloa-Aravaca;79609;41241,035087577962258;46437753,454146727919579
10;079610;238218;Madrid-Latina;79610;28275,314755398783745;25441313,657462015748024
11;079611;253099;Madrid-Carabanchel;79611;18234,504914064746117;14049637,851693104952574
12;079612;139741;Madrid-Usera;79612;11757,183154434595053;7750059,855644538067281
13;079613;234857;Madrid-Puente de Vallecas;79613;17284,881623535027757;14882781,898087505251169
14;079620;158142;Madrid-San Blas - Canillejas;79620;26830,612590430468117;22218031,068329028785229
15;079621;48945;Madrid-Barajas;79621;29661,117795498346823;43539719,476991169154644
16;079614;94570;Madrid-Moratalaz;79614;10876,392306018851741;6084096,171147985383868
17;079615;216284;Madrid-Ciudad Lineal;79615;21424,321143222758110;11516192,322149509564042
18;079616;188187;Madrid-Hortaleza;79616;27190,427170583563566;25856453,607612375169992
19;079617;148946;Madrid-Villaverde;79617;18349,198895603632991;20211175,095761690288782
20;079618;110365;Madrid-Villa de Vallecas;79618;33606,040455441660015;51511651,964147754013538
21;079619;72091;Madrid-Vicálvaro;79619;34865,882260042264534;35346157,008252121508121
22;1150;86422;Pozuelo de Alarcón;1150;29689,749340859045333;43151705,845380716025829
23;0072;170514;Alcorcón;72;28975,643675849056308;33577352,793079882860184
24;0967;29298;Navalcarnero;967;47153,055759180599125;100832544,120051100850105
25;1296;13379;San Agustín del Guadalix;1296;34686,291628686274635;38226405,748638764023781
26;1277;95814;Las Rozas de Madrid;1277;39642,153130161270383;58294293,962736561894417
27;0894;5136;Moraleja de Enmedio;894;29550,298814644920640;31170819,176243521273136
28;1551;609;Valdaracete;1551;37428,440371009302908;63798617,631306514143944
29;1163;1147;Pozuelo del Rey;1163;24919,489162064739503;30912259,733588434755802
30;1185;65;Puebla de la Sierra;1185;32176,951240734768362;56693938,810152739286423
31;1104;2935;Perales de Tajuña;1104;35150,345755613867368;49067331,491975359618664
